                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    134,                 1.2917,                 1.0412,                 1.0536,                0.41114,                0.70265,                0.36536,                0.27732,                0.76988,                 1.0463,                 0.8757,              0.0010854,              0.0010854,              0.0010854
                    135,                 1.3059,                 1.0479,                 1.0564,                0.39659,                 0.6775,                0.34771,                0.26672,                 0.8303,                 1.0496,                0.87639,              0.0010842,              0.0010842,              0.0010842
                    136,                 1.3001,                 1.0559,                 1.0627,                0.38406,                0.66024,                0.34243,                 0.2709,                0.78823,                 1.1094,                0.86026,              0.0010829,              0.0010829,              0.0010829
                    137,                  1.317,                 1.0367,                 1.0675,                0.35902,                0.63145,                0.31701,                0.24438,                0.86885,                 1.2006,                0.88095,              0.0010817,              0.0010817,              0.0010817
                    138,                 1.3215,                 1.0655,                  1.071,                0.34772,                 0.6253,                0.31038,                0.24472,                0.79072,                 1.0819,                0.88581,              0.0010805,              0.0010805,              0.0010805
                    139,                 1.2959,                 1.0467,                 1.0522,                0.36585,                 0.6547,                0.32589,                0.25439,                0.81308,                 1.0423,                0.88446,              0.0010792,              0.0010792,              0.0010792
                    140,                 1.3017,                 1.0375,                 1.0566,                0.40805,                0.67808,                0.35059,                0.26738,                0.82554,                 1.0311,                0.88401,               0.001078,               0.001078,               0.001078
                    141,                 1.2814,                 1.0132,                 1.0492,                0.39802,                0.68541,                0.33637,                  0.249,                0.94473,                 1.0524,                0.89361,              0.0010768,              0.0010768,              0.0010768
                    142,                 1.2971,                 1.0365,                 1.0574,                0.39829,                 0.6997,                0.35758,                 0.2833,                0.80714,                 1.0487,                0.87684,              0.0010755,              0.0010755,              0.0010755
                    143,                 1.2645,                 1.0192,                   1.05,                0.39086,                0.68387,                0.35988,                0.27443,                0.78965,                 1.0509,                0.87097,              0.0010743,              0.0010743,              0.0010743
                    144,                 1.2774,                  1.007,                 1.0506,                0.37197,                0.67254,                0.33453,                0.26279,                0.81341,                 1.1781,                0.86633,               0.001073,               0.001073,               0.001073
                    145,                  1.267,                 1.0191,                 1.0528,                 0.3921,                 0.6736,                 0.3543,                0.28643,                0.77916,                 1.0831,                0.87021,              0.0010718,              0.0010718,              0.0010718
                    146,                 1.3154,                 1.0471,                 1.0597,                0.39568,                0.68647,                0.35491,                0.28604,                0.78839,                 1.1282,                0.86902,              0.0010706,              0.0010706,              0.0010706
                    147,                 1.2627,                 1.0021,                 1.0424,                 0.3901,                0.69166,                0.34566,                0.28087,                0.71155,                 1.0236,                0.85714,              0.0010693,              0.0010693,              0.0010693
                    148,                   1.25,                 1.0056,                 1.0432,                0.38782,                0.67596,                0.33682,                0.26675,                 0.8029,                  1.017,                0.86376,              0.0010681,              0.0010681,              0.0010681
